Experiment	STML
Lock-in 2>Reference phase D3 (deg)	105.734E+0	
Lock-in 2>Reference phase D4 (deg)	0E+0	
Lock-in 2>LP Filter Cutoff D3 (Hz)	38.8562E+0	
Lock-in 2>LP Filter Cutoff D4 (Hz)	38.8562E+0	
Lock-in 2>LP Filter Order D3	4	
Lock-in 2>LP Filter Order D4	4	
Lock-in 2>Sync Filter D3	OFF	
Lock-in 2>Sync Filter D4	ON	
NanonisMain>Session Path	K:\Labs205\Labs\THz-STM\raw data\huly\hBN\LH021\39_Ag111_VT	
NanonisMain>SW Version	Generic 5e	
NanonisMain>UI Release	13468	
NanonisMain>RT Release	13468	
NanonisMain>RT Frequency (Hz)	20E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Acquisition Period (s)	20E-3	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Oscillation Control>differential input	TRUE	
Oscillation Control>input 1/10	FALSE	
Oscillation Control>Input Calibration (m/V)	73.3E-9	
Oscillation Control>Input Range (m)	500E-12	
Oscillation Control>Center Frequency (Hz)	29.9368E+3	
Oscillation Control>Range (Hz)	76.2939E+0	
Oscillation Control>Demod 1 Input	1	
Oscillation Control>Demod 2 Input	1	
Oscillation Control>Demod 3 Input	1	
Oscillation Control>Demod 4 Input	1	
Oscillation Control>Demod 1 Frequency	1	
Oscillation Control>Demod 2 Frequency	1	
Oscillation Control>Demod 3 Frequency	1	
Oscillation Control>Demod 4 Frequency	1	
Oscillation Control>Demod 1 Reference Phase (deg)	74.31E+0	
Oscillation Control>Demod 2 Reference Phase (deg)	44.2121E+0	
Oscillation Control>Demod 3 Reference Phase (deg)	44.1993E+0	
Oscillation Control>Demod 4 Reference Phase (deg)	44.2044E+0	
Oscillation Control>Demod 1 Cut off frq (Hz)	777	
Oscillation Control>Demod 2 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 3 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 4 Cut off frq (Hz)	1.55k	
Oscillation Control>Demod 1 Harmonic	1	
Oscillation Control>Demod 2 Harmonic	1	
Oscillation Control>Demod 3 Harmonic	1	
Oscillation Control>Demod 4 Harmonic	1	
Oscillation Control>Demod 1 Filter Order	2	
Oscillation Control>Demod 2 Filter Order	2	
Oscillation Control>Demod 3 Filter Order	2	
Oscillation Control>Demod 4 Filter Order	2	
Oscillation Control>Phase P gain (Hz/rad)	698.132E-3	
Oscillation Control>Phase I gain (Hz/rad/s)	1.39981E+0	
Oscillation Control>Phase controller on	FALSE	
Oscillation Control>FrequencyShift (Hz)	0E+0	
Oscillation Control>Amplitude Setpoint (m)	100E-12	
Oscillation Control>Amplitude P gain (V/nm)	80.3224E+9	
Oscillation Control>Amplitude I gain (V/nm/s)	161.052E+9	
Oscillation Control>Amplitude controller on	FALSE	
Oscillation Control>Excitation (V)	0E+0	
Oscillation Control>Output Ampl. Range (V)	0.1	
Oscillation Control>output off	FALSE	
Oscillation Control>output add	FALSE	
Oscillation Control>PLL-Setup Q-Factor	23.544E+3	
Oscillation Control>PLL-Setup Demod. Bandwidth Amp (Hz)	234.699E+0	
Oscillation Control>PLL-Setup Demod. Bandwidth Pha (Hz)	40E+0	
Oscillation Control>PLL-Setup amplitude/excitation (m/V)	4.596E-9	
Outputs>Output 1 Mode	User Output	
Outputs>Output 2 Mode	User Output	
Outputs>Output 3 Mode	User Output	
Outputs>Output 4 Mode	User Output	
Outputs>Output 5 Mode	User Output	
Outputs>Output 6 Mode	User Output	
Outputs>Output 7 Mode	User Output	
Outputs>Output 8 Mode	User Output	
Outputs>Output 1 Value	0E+0	
Outputs>Output 2 Value	0E+0	
Outputs>Output 3 Value	2.5797E+0	
Outputs>Output 4 Value	2.56682E+0	
Outputs>Output 5 Value	0E+0	
Outputs>Output 6 Value	0E+0	
Outputs>Output 7 Value	0E+0	
Outputs>Output 8 Value	3.5E+0	
Outputs>Output 1 Name	Bias (V)	
Outputs>Output 2 Name	Output 2 (V)	
Outputs>Output 3 Name	T1 Supply voltage (V)	
Outputs>Output 4 Name	T2 Supply voltage (V)	
Outputs>Output 5 Name	X (m)	
Outputs>Output 6 Name	Y (m)	
Outputs>Output 7 Name	Z (m)	
Outputs>Output 8 Name	Output 8 (V)	
Outputs>Output 1 Slew Rate	Inf	
Outputs>Output 2 Slew Rate	Inf	
Outputs>Output 3 Slew Rate	Inf	
Outputs>Output 4 Slew Rate	Inf	
Outputs>Output 5 Slew Rate	Inf	
Outputs>Output 6 Slew Rate	Inf	
Outputs>Output 7 Slew Rate	Inf	
Outputs>Output 8 Slew Rate	Inf	
Piezo Configuration>Active Calib.	LHe	
Piezo Configuration>Calib. X (m/V)	4.9E-9	
Piezo Configuration>Calib. Y (m/V)	4.7E-9	
Piezo Configuration>Calib. Z (m/V)	890E-12	
Piezo Configuration>HV Gain X	10	
Piezo Configuration>HV Gain Y	10	
Piezo Configuration>HV Gain Z	10	
Piezo Configuration>Tilt X (deg)	3.13132	
Piezo Configuration>Tilt Y (deg)	-0.502203	
Piezo Configuration>Curvature radius X (m)	Inf	
Piezo Configuration>Curvature radius Y (m)	Inf	
Piezo Configuration>2nd order corr X (V/m^2)	0E+0	
Piezo Configuration>2nd order corr Y (V/m^2)	0E+0	
Piezo Configuration>Drift X (m/s)	0E+0	
Piezo Configuration>Drift Y (m/s)	0E+0	
Piezo Configuration>Drift Z (m/s)	10E-15	
Piezo Configuration>Drift correction status (on/off)	FALSE	
Scan>Scanfield	36.713E-9;-34.5176E-9;20E-9;20E-9;0E+0	
Scan>series name	img_	
Scan>channels	Current (A);Z (m);LI Demod 3 X (A);Counter 1 (Hz)	
Scan>pixels/line	208	
Scan>lines	217	
Scan>speed forw. (m/s)	30.0481E-9	
Scan>speed backw. (m/s)	30.0481E-9	
Temperature 1>Temperature 1 (K)	4.16032E+0	
Temperature 2>Temperature 2 (K)	4.55533E+0	
Z Spectroscopy>Initial Z-offset (m)	-100E-12	
Z Spectroscopy>Sweep distance (m)	-320E-12	
Z Spectroscopy>Num Pixel	50	
Z Spectroscopy>Z Avg time (s)	50E-3	
Z Spectroscopy>1st Settling time (s)	5E-3	
Z Spectroscopy>Settling time (s)	1E-3	
Z Spectroscopy>Integration time (s)	2E+0	
Z Spectroscopy>End Settling time (s)	5E-3	
Z Spectroscopy>Z control time (s)	200E-3	
Z Spectroscopy>Max Slew rate (V/s)	Inf	
Z Spectroscopy>backward sweep	FALSE	
Z Spectroscopy>Number of sweeps	1	
Z Spectroscopy>Channels	Current (A);Bias (V);Z (m);LI Demod 3 X (A);LI Demod 3 Y (A);Counter 1 (Hz)	
Z Spectroscopy>Time between fwd/bwd (s)	0E+0	
Z Spectroscopy>Record final Z	FALSE	
Z Spectroscopy>Lock-In run	FALSE	
Z Spectroscopy>Reset Z	TRUE	
Z-Controller>Z (m)	-71.8548E-9	
Z-Controller>Controller name	log Current	
Z-Controller>Controller status	ON	
Z-Controller>Setpoint	100E-12	
Z-Controller>Setpoint unit	A	
Z-Controller>P gain	5E-12	
Z-Controller>I gain	50.0001E-9	
Z-Controller>Time const (s)	99.9998E-6	
Z-Controller>TipLift (m)	1E-9	
Z-Controller>Switch off delay (s)	50E-3	
Spectrometer Exposure Time (ms)	300000
Spectrometer Selected Grating Center Wavelength (nm)	800
Spectrometer Selected Grating Density	150
X (m)	2.8620963377079534e-08
Y (m)	-3.116556612781096e-08
Z (m)	8.344404989202303e-08
Bias [V]	1.0
Current [A]	-3.9576494859083766e-11
Exposure Time [ms]	300000.0
Selected Grating	150 g/mm
Center Wavelength [nm]	800.0
Last aquired sxm file	img_0009.sxm
SPE Filename	stml_00001.spe
DAT Filename	stml_0000100001.dat

[DATA]
Current (A)	Bias (V)	X (m)	Y (m)	Z (m)	Time	Intensity	Wavelength
1.20987025e-11	1.0	2.8620942e-08	-3.1165595e-08	5.5398507000000004e-08	0	-18.0	516.4504727718593
1.068611475e-11	1.0	2.8620942e-08	-3.1165595e-08	3.008680825e-08	300000	-3.0	516.877072170292
9.514753125000001e-12	1.0	2.8620942e-08	-3.1165595e-08	1.2103364000000003e-09	600000	10.0	517.3036645838644
9.257308025e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.816070175e-08	900000	4.0	517.7302500067993
9.208246375e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.75549785e-08	1200000	5.0	518.1568284333201
-5.6277990349999997e-11	1.0	2.8620942e-08	-3.1165595e-08	2.7194532649999997e-08	1500000	-16.0	518.5833998576502
1.0370352925e-11	1.0	2.8620942e-08	-3.1165595e-08	8.030129100000001e-08	1800000	180.0	519.0099642740136
1.212271625e-11	1.0	2.8620942e-08	-3.1165595e-08	5.6981533e-08	2100000	3911.0	519.4365216766339
1.0717885775e-11	1.0	2.8620942e-08	-3.1165595e-08	3.173116125e-08	2400000	4153.0	519.863072059736
9.683791875e-12	1.0	2.8620942e-08	-3.1165595e-08	2.8511394250000004e-09	2700000	502.0	520.2896154175434
9.194259275e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.652556375e-08	3000000	15.0	520.7161517442819
9.226963174999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.592916525e-08	3300000	15.0	521.1426810341753
-5.592016875e-11	1.0	2.8620942e-08	-3.1165595e-08	2.9175097499999985e-09	3600000	9.0	521.5692032814501
9.008629625e-12	1.0	2.8620942e-08	-3.1165595e-08	8.27423125e-08	3900000	10.0	521.9957184803303
1.2135555750000001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.007415e-08	4200000	10.0	522.4222266250418
1.094034225e-11	1.0	2.8620942e-08	-3.1165595e-08	3.5292025750000003e-08	4500000	1585.0	522.8487277098111
9.63497695e-12	1.0	2.8620942e-08	-3.1165595e-08	6.6279891e-09	4800000	2361.0	523.2752217288635
9.199680725e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.2734251749999997e-08	5100000	2294.0	523.7017086764255
9.256046874999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.2142518000000004e-08	5400000	3867.0	524.1281885467234
-5.525882705e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.798573249999999e-09	5700000	62.0	524.5546613339847
8.6639834e-12	1.0	2.8620942e-08	-3.1165595e-08	8.3794214e-08	6000000	-4.0	524.9811270324352
1.2138769e-11	1.0	2.8620942e-08	-3.1165595e-08	6.1591341e-08	6300000	10.0	525.4075856363028
1.1277379e-11	1.0	2.8620942e-08	-3.1165595e-08	3.7254758750000003e-08	6600000	7.0	525.8340371398148
9.80204205e-12	1.0	2.8620942e-08	-3.1165595e-08	8.98610275e-09	6900000	16.0	526.2604815371989
9.26677115e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.0296562025e-08	7200000	10.0	526.6869188226823
9.2456808e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.9689737500000004e-08	7500000	-1.0	527.113348990494
-5.5035783125000006e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.6304394250000003e-08	7800000	17.0	527.5397720348618
7.640874425e-12	1.0	2.8620942e-08	-3.1165595e-08	8.5509443e-08	8100000	16.0	527.9661879500142
1.213416975e-11	1.0	2.8620942e-08	-3.1165595e-08	6.4430874e-08	8400000	15.0	528.3925967301802
1.1475345e-11	1.0	2.8620942e-08	-3.1165595e-08	4.0148478250000004e-08	8700000	6.0	528.818998369589
9.82534035e-12	1.0	2.8620942e-08	-3.1165595e-08	1.1957673874999998e-08	9000000	19.0	529.2453928624697
9.246385774999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.73281916e-08	9300000	2.0	529.6717802030512
9.266287624999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.672198625e-08	9600000	14.0	530.098160385564
-5.4339029775e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.5035053750000005e-08	9900000	-1.0	530.5245334042374
2.6238490000000002e-12	1.0	2.8620942e-08	-3.1165595e-08	8.8884386e-08	10200000	11.0	530.9508992533026
1.24548065e-11	1.0	2.8620942e-08	-3.1165595e-08	7.480248425000001e-08	10500000	7.0	531.3772579269889
1.19180155e-11	1.0	2.8620942e-08	-3.1165595e-08	5.12085865e-08	10800000	7.0	531.803609419527
1.030155325e-11	1.0	2.8620942e-08	-3.1165595e-08	2.4676080500000003e-08	11100000	17.0	532.2299537251489
9.261548350000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.4650152425e-09	11400000	16.0	532.6562908380843
9.25086135e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.3869549250000004e-08	11700000	14.0	533.0826207525656
9.20349385e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.3267492e-08	12000000	13.0	533.5089434628242
-5.7758331100000005e-11	1.0	2.8620942e-08	-3.1165595e-08	5.7420078499999994e-08	12300000	14.0	533.9352589630912
1.236722725e-11	1.0	2.8620942e-08	-3.1165595e-08	7.619558874999999e-08	12600000	449.0	534.3615672475995
1.1984268e-11	1.0	2.8620942e-08	-3.1165595e-08	5.26283515e-08	12900000	10770.0	534.7878683105807
1.0546498925e-11	1.0	2.8620942e-08	-3.1165595e-08	2.6736196250000002e-08	13200000	5.0	535.2141621462681
9.418189125e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.2869509e-09	13500000	2.0	535.6404487488938
9.178749350000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.172098275e-08	13800000	0.0	536.0667281126915
9.309455975e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.108661725e-08	14100000	26.0	536.4930002318939
-5.73314663e-11	1.0	2.8620942e-08	-3.1165595e-08	4.626276075e-08	14400000	17.0	536.9192651007345
1.2099818750000001e-11	1.0	2.8620942e-08	-3.1165595e-08	7.672842975000001e-08	14700000	5.0	537.3455227134468
1.202988375e-11	1.0	2.8620942e-08	-3.1165595e-08	5.315684625e-08	15000000	-6.0	537.7717730642659
1.0499411575e-11	1.0	2.8620942e-08	-3.1165595e-08	2.741255625e-08	15300000	-10.0	538.1980161474246
9.409844225000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.608968625e-09	15600000	10.0	538.6242519571582
9.266297825e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.0984689749999995e-08	15900000	3.0	539.0504804877013
9.240677875e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.04039585e-08	16200000	0.0	539.4767017332883
-5.6889668425e-11	1.0	2.8620942e-08	-3.1165595e-08	4.75936145e-08	16500000	20.0	539.9029156881548
1.1386962874999998e-11	1.0	2.8620942e-08	-3.1165595e-08	7.8238308e-08	16800000	6.0	540.3291223465368
1.208463825e-11	1.0	2.8620942e-08	-3.1165595e-08	5.4704477249999995e-08	17100000	7.0	540.7553217026691
1.0640569e-11	1.0	2.8620942e-08	-3.1165595e-08	2.8980792e-08	17400000	9.0	541.1815137507873
9.4964737e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.204625000000281e-12	17700000	21.0	541.6076984851289
9.270393475e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.9390899e-08	18000000	-2.0	542.0338758999288
9.202784125e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.8792909250000004e-08	18300000	30.0	542.4600459894243
-5.670778867500001e-11	1.0	2.8620942e-08	-3.1165595e-08	2.4387675624999998e-08	18600000	8.0	542.8862087478526
1.027079015e-11	1.0	2.8620942e-08	-3.1165595e-08	8.054493400000001e-08	18900000	7.0	543.3123641694505
1.212284925e-11	1.0	2.8620942e-08	-3.1165595e-08	5.727884025000001e-08	19200000	-6.0	543.7385122484551
1.06871735e-11	1.0	2.8620942e-08	-3.1165595e-08	3.1849875249999995e-08	19500000	7.0	544.1646529791044
9.568745175e-12	1.0	2.8620942e-08	-3.1165595e-08	2.9252995874999995e-09	19800000	7.0	544.5907863556358
9.385477875e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.639848475e-08	20100000	8.0	545.0169123722882
9.219823475e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.5776062e-08	20400000	7.0	545.4430310232995
-5.5968420524999994e-11	1.0	2.8620942e-08	-3.1165595e-08	2.986826749999999e-09	20700000	20.0	545.8691423029079
9.588316075e-12	1.0	2.8620942e-08	-3.1165595e-08	8.192916575000001e-08	21000000	10.0	546.2952462053528
1.213320025e-11	1.0	2.8620942e-08	-3.1165595e-08	5.899412975e-08	21300000	21.0	546.721342724873
1.080548725e-11	1.0	2.8620942e-08	-3.1165595e-08	3.41333175e-08	21600000	4.0	547.1474318557083
9.587726000000002e-12	1.0	2.8620942e-08	-3.1165595e-08	5.419880275e-09	21900000	12.0	547.5735135920971
9.271039875e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.3912901250000003e-08	22200000	10.0	547.999587928281
9.19049015e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.3320946e-08	22500000	0.0	548.4256548584988
-5.5229372224999995e-11	1.0	2.8620942e-08	-3.1165595e-08	5.806363500000001e-09	22800000	24.0	548.8517143769911
9.15258455e-12	1.0	2.8620942e-08	-3.1165595e-08	8.25502065e-08	23100000	0.0	549.2777664779987
1.213884025e-11	1.0	2.8620942e-08	-3.1165595e-08	5.98126075e-08	23400000	1.0	549.7038111557621
1.104474775e-11	1.0	2.8620942e-08	-3.1165595e-08	3.517111025e-08	23700000	19.0	550.1298484045229
9.651651225e-12	1.0	2.8620942e-08	-3.1165595e-08	6.632893375000001e-09	24000000	9.0	550.5558782185224
9.2891736e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.2690907250000002e-08	24300000	7.0	550.9819005920014
9.233692125e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.2086509e-08	24600000	8.0	551.4079155192023
-5.5217729774999997e-11	1.0	2.8620942e-08	-3.1165595e-08	-4.387468500000004e-09	24900000	13.0	551.8339229943673
8.503876574999999e-12	1.0	2.8620942e-08	-3.1165595e-08	8.39133865e-08	25200000	12656.0	552.259923011739
1.2138667250000001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.177627725e-08	25500000	19.0	552.6859155655595
1.114951025e-11	1.0	2.8620942e-08	-3.1165595e-08	3.74949685e-08	25800000	5.0	553.1119006500718
9.881691175000002e-12	1.0	2.8620942e-08	-3.1165595e-08	9.27639625e-09	26100000	1.0	553.5378782595191
9.14449135e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.0038384724999998e-08	26400000	-1.0	553.9638483881441
9.267717875e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.94562445e-08	26700000	1.0	554.3898110301915
-5.48756648e-11	1.0	2.8620942e-08	-3.1165595e-08	-2.6130928250000002e-08	27000000	16.0	554.8157661799047
7.340693349999999e-12	1.0	2.8620942e-08	-3.1165595e-08	8.5706102e-08	27300000	19.0	555.2417138315276
1.21349015e-11	1.0	2.8620942e-08	-3.1165595e-08	6.480893675e-08	27600000	16.0	555.6676539793049
1.1380926499999999e-11	1.0	2.8620942e-08	-3.1165595e-08	4.073770475e-08	27900000	-5.0	556.0935866174814
9.7732316e-12	1.0	2.8620942e-08	-3.1165595e-08	1.27191609e-08	28200000	14.0	556.5195117403018
9.250497925e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.6590837075e-08	28500000	25.0	556.9454293420107
9.253920775e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.599545725e-08	28800000	17.0	557.3713394168545
-5.4039697525e-11	1.0	2.8620942e-08	-3.1165595e-08	-3.9159067000000005e-08	29100000	24.0	557.7972419590782
7.036943949999999e-12	1.0	2.8620942e-08	-3.1165595e-08	8.6582201e-08	29400000	6.0	558.2231369629276
1.2136241000000001e-11	1.0	2.8620942e-08	-3.1165595e-08	6.66061065e-08	29700000	14.0	558.6490244226499
1.148644325e-11	1.0	2.8620942e-08	-3.1165595e-08	4.26593845e-08	30000000	8.0	559.0749043324905
9.776592075e-12	1.0	2.8620942e-08	-3.1165595e-08	1.48732158e-08	30300000	2.0	559.5007766866963
9.214984e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.4407120125e-08	30600000	3.0	559.9266414795153
9.224826199999999e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.381033775e-08	30900000	6.0	560.3524987051934
-5.5129479475000005e-11	1.0	2.8620942e-08	-3.1165595e-08	-5.6075854250000006e-08	31200000	13.0	560.778348357978
7.24154705e-12	1.0	2.8620942e-08	-3.1165595e-08	8.768694225e-08	31500000	7.0	561.2041904321183
1.21853505e-11	1.0	2.8620942e-08	-3.1165595e-08	6.94465055e-08	31800000	14.0	561.6300249218609
1.1840775e-11	1.0	2.8620942e-08	-3.1165595e-08	4.562716975e-08	32100000	35.0	562.0558518214555
9.936838775e-12	1.0	2.8620942e-08	-3.1165595e-08	1.8121496675e-08	32400000	6.0	562.4816711251491
9.242005375e-12	1.0	2.8620942e-08	-3.1165595e-08	-1.1089450252e-08	32700000	5460.0	562.9074828271915
9.210371625e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.0495823750000003e-08	33000000	21.0	563.3332869218307
-5.7172416749999996e-11	1.0	2.8620942e-08	-3.1165595e-08	-6.390057524999999e-08	33300000	15.0	563.7590834033176
9.589145725e-12	1.0	2.8620942e-08	-3.1165595e-08	8.808972225e-08	33600000	18.0	564.1848722659005
1.2221367e-11	1.0	2.8620942e-08	-3.1165595e-08	7.076188175e-08	33900000	-2.0	564.6106535038301
1.1907345e-11	1.0	2.8620942e-08	-3.1165595e-08	4.707419e-08	34200000	2.0	565.0364271113558
1.0045973025e-11	1.0	2.8620942e-08	-3.1165595e-08	2.00130009e-08	34500000	11.0	565.462193082729
9.252425025e-12	1.0	2.8620942e-08	-3.1165595e-08	-9.19969415e-09	34800000	3.0	565.8879514121992
9.223453400000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.862181775e-08	35100000	11.0	566.3137020940176
9.232018125000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.8028446e-08	35400000	15.0	566.7394451224358
-5.820545524999999e-11	1.0	2.8620942e-08	-3.1165595e-08	8.352511399999999e-08	35700000	23.0	567.1651804917052
1.2403813e-11	1.0	2.8620942e-08	-3.1165595e-08	7.415864899999999e-08	36000000	-1.0	567.5909081960773
1.185917725e-11	1.0	2.8620942e-08	-3.1165595e-08	5.054936475e-08	36300000	9.0	568.0166282298038
1.040401755e-11	1.0	2.8620942e-08	-3.1165595e-08	2.4199821e-08	36600000	14.0	568.4423405871379
9.34838925e-12	1.0	2.8620942e-08	-3.1165595e-08	-4.910602925e-09	36900000	18.0	568.8680452623315
9.238713750000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.432034875e-08	37200000	3.0	569.2937422496369
9.207228750000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.3716576e-08	37500000	-1.0	569.7194315433078
-5.78321481e-11	1.0	2.8620942e-08	-3.1165595e-08	6.0811701e-08	37800000	-2.0	570.1451131375978
1.2541955749999999e-11	1.0	2.8620942e-08	-3.1165595e-08	7.574243449999999e-08	38100000	9.0	570.57078702676
1.19972115e-11	1.0	2.8620942e-08	-3.1165595e-08	5.219053650000001e-08	38400000	10.0	570.9964532050478
1.0446518e-11	1.0	2.8620942e-08	-3.1165595e-08	2.598666925e-08	38700000	32.0	571.4221116667165
9.389708850000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.120598985e-09	39000000	1980.0	571.8477624060199
9.232382025000001e-12	1.0	2.8620942e-08	-3.1165595e-08	-3.2512354e-08	39300000	2678.0	572.2734054172126
9.238257075e-12	1.0	2.8620942e-08	-3.1165595e-08	-6.192693025000001e-08	39600000	9.0	572.6990406945495
-5.7385805875000005e-11	1.0	2.8620942e-08	-3.1165595e-08	3.900128325e-08	39900000	12.0	573.1246682322862
1.1019183675e-11	1.0	2.8620942e-08	-3.1165595e-08	7.90378625e-08	40200000	2.0	573.5502880246779
1.2069270249999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.5557156250000003e-08	40500000	-3.0	573.9759000659802
1.0696022e-11	1.0	2.8620942e-08	-3.1165595e-08	2.987063225e-08	40800000	14.0	574.4015043504495
9.4946345e-12	1.0	2.8620942e-08	-3.1165595e-08	8.834037749999996e-10	41100000	-2.0	574.8271008723424
9.244095525e-12	1.0	2.8620942e-08	-3.1165595e-08	-2.852340625e-08	41400000	2.0	575.2526896259144
9.2626369e-12	1.0	2.8620942e-08	-3.1165595e-08	-5.791610750000001e-08	41700000	6.0	575.6782706054234
-5.644255827499999e-11	1.0	2.8620942e-08	-3.1165595e-08	1.6906248750000002e-08	42000000	13.0	576.1038438051262
9.584206525e-12	1.0	2.8620942e-08	-3.1165595e-08	8.1613086e-08	42300000	-4.0	576.5294092192804
1.2135893249999999e-11	1.0	2.8620942e-08	-3.1165595e-08	5.8580878e-08	42600000	23.0	576.9549668421433
1.1013511e-11	1.0	2.8620942e-08	-3.1165595e-08	3.3852436e-08	42900000	4.0	577.3805166679732
